Altium Designer Pick and Place Locations
C:\github\WLED_Pixie\WLED_Pixie_Rev_A\Project Outputs for WLED_Pixie_Rev_A\Pick Place\WLED_Pixie_Rev_A.csv

========================================================================================================================
File Design Information:

Date:       30/09/24
Time:       09:51
Revision:   39842a8a05f6022fbdb22b35538d64068c27f677
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"C23","3.8100mm","45.1040mm","TopLayer","90"
"C20","8.8900mm","45.3390mm","TopLayer","90"
"C17","8.9090mm","15.2400mm","TopLayer","180"
"C4","9.1440mm","31.2420mm","TopLayer","180"
"C3","8.8900mm","34.1630mm","TopLayer","90"
"C1","16.5100mm","11.1760mm","TopLayer","180"
"C16","8.9090mm","14.0970mm","TopLayer","180"
"C15","8.9090mm","12.9540mm","TopLayer","180"
"C14","16.5290mm","14.9860mm","TopLayer","0"
"C13","16.5290mm","13.8430mm","TopLayer","0"
"C9","8.7630mm","38.4810mm","TopLayer","270"
"C12","10.4140mm","45.5310mm","TopLayer","90"
"C8","7.4930mm","45.5310mm","TopLayer","90"
"C19","12.0650mm","45.5310mm","TopLayer","90"
"C18","5.8420mm","45.5310mm","TopLayer","90"
"C2","12.0650mm","33.7400mm","TopLayer","90"
"C7","10.1600mm","38.1000mm","TopLayer","270"
"C6","11.8110mm","38.1000mm","TopLayer","270"
"C5","11.8110mm","31.2420mm","TopLayer","0"
"C11","18.9230mm","38.8620mm","TopLayer","270"
"C10","10.2870mm","33.7020mm","TopLayer","90"
"L1","16.0020mm","42.5450mm","TopLayer","0"
"LED1","3.5560mm","12.4762mm","TopLayer","90"
"LED4","4.4752mm","36.0257mm","TopLayer","0"
"LED2","4.4752mm","37.9730mm","TopLayer","0"
"LED5","4.4752mm","35.0520mm","TopLayer","0"
"LED3","4.4752mm","36.9993mm","TopLayer","0"
"R9","17.2720mm","30.6650mm","TopLayer","270"
"R7","16.2560mm","30.6650mm","TopLayer","90"
"R5","15.1130mm","30.6650mm","TopLayer","90"
"R10","7.1120mm","14.7320mm","TopLayer","90"
"R6","17.1450mm","22.5480mm","TopLayer","270"
"R2","16.5100mm","12.1920mm","TopLayer","0"
"R8","7.2390mm","32.5120mm","TopLayer","270"
"R47","3.5560mm","14.6050mm","TopLayer","270"
"R39","4.6990mm","12.9540mm","TopLayer","270"
"R13","5.4610mm","12.9540mm","TopLayer","270"
"R4","6.7310mm","12.5730mm","TopLayer","180"
"R3","18.6690mm","22.6060mm","TopLayer","270"
"R1","4.1910mm","10.7950mm","TopLayer","180"
"CN4","11.3030mm","39.2430mm","BottomLayer","90"
"CN2","15.3670mm","44.9580mm","BottomLayer","270"
"CN3","7.1120mm","44.9580mm","BottomLayer","270"
"D2","10.4140mm","35.9410mm","TopLayer","180"
"D1","18.5420mm","12.9540mm","TopLayer","270"
"U3","15.7480mm","35.3060mm","TopLayer","90"
"U5","8.1915mm","42.1386mm","TopLayer","0"
"U2","4.7625mm","42.0116mm","TopLayer","0"
"U4","12.7000mm","13.5890mm","TopLayer","180"
"SW4","17.7800mm","26.5430mm","TopLayer","90"
"SW2","17.7800mm","18.5420mm","TopLayer","270"
"SW3","18.2880mm","7.2390mm","TopLayer","270"
"SW1","4.4450mm","7.2390mm","TopLayer","270"
"CN1","11.4300mm","7.6200mm","TopLayer","0"
"U1","8.9600mm","22.9302mm","TopLayer","270"
"LED6","4.6784mm","31.7738mm","TopLayer","180"
